title,Cant_Inscriptos,course_type,institution,Level,subject,language,Duracion_Curso,Precio
Greatest Unsolved Mysteries of the Universe,"93,965",Self-paced on your time,Australian National University,Intermediate,Physics,English,9 Weeks,FREE-Add a Verified Certificate for $50 USD
"Money Markets, Foreign Exchange and Time Value of Money","12,230",Self-paced on your time,NYIF,Introductory,Economics & Finance,English,4 Weeks,FREE-Add a Verified Certificate for $199 USD
Gestión de Contenidos Digitales y Marketing Turístico de Ciudad,"14,627",Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Communication,Español,4 Weeks,FREE-Add a Verified Certificate for $49 USD
Designing the User Experience,"6,416",Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,4 Weeks,FREE-Add a Verified Certificate for $199 USD
Introduction to Bioconductor,"36,370",Self-paced on your time,Harvard University,Intermediate,Data Analysis & Statistics,English,4 Weeks,FREE-Add a Verified Certificate for $149 USD
Connected Strategy,"10,355",Self-paced on your time,The Wharton School of the University of Pennsylvania,Intermediate,Business & Management,English,6 Weeks,FREE-Add a Verified Certificate for $199 USD
Hybrid Vehicles,"18,294",Instructor-led on a course schedule,Chalmers University of Technology,Advanced,Engineering,English,6 Weeks,FREE-Add a Verified Certificate for $249 USD
First Nights - Handel's Messiah and Baroque Oratorio,"18,029",Self-paced on your time,Harvard University,Introductory,Humanities,English,3 Weeks,FREE-Add a Verified Certificate for $49 USD
Statistical Inference and Modeling for High-throughput Experiments,"51,590",Self-paced on your time,Harvard University,Intermediate,Data Analysis & Statistics,English,4 Weeks,FREE-Add a Verified Certificate for $149 USD
First Nights - Monteverdi’s L’Orfeo and the Birth of Opera,"13,300",Self-paced on your time,Harvard University,Introductory,Humanities,English,3 Weeks,FREE-Add a Verified Certificate for $49 USD
18th-Century Opera: Handel & Mozart,"18,331",Self-paced on your time,Harvard University,Introductory,Music,English,5 Weeks,FREE-Add a Verified Certificate for $99 USD
Introduction to video game development with Unity,"7,605",Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Computer Science,English,6 Weeks,FREE-Add a Verified Certificate for $50 USD
Best Practices for Project Management Success,"46,610",Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,11 Weeks,FREE-Add a Verified Certificate for $150 USD
Fundamentos de la Tecnología Blockchain,"5,473",Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Economics & Finance,Español,5 Weeks,FREE-Add a Verified Certificate for $49 USD
Información financiera y su análisis,"5,473",Self-paced on your time,Tecnológico de Monterrey,Advanced,Economics & Finance,Español,4 Weeks,FREE-Add a Verified Certificate for $49.99 USD
Coaching Skills for Learner-Centred Conversations,"8,089",Self-paced on your time,Imperial College London,Introductory,Education & Teacher Training,English,4 Weeks,FREE-Add a Verified Certificate for $49 USD
Intellectual Property Law and Policy: Part 1,"43,993",Self-paced on your time,University of Pennsylvania,Intermediate,Law,English,6 Weeks,FREE-Add a Verified Certificate for $169 USD
Robotics,"68,199",Instructor-led on a course schedule,Columbia University,Advanced,Computer Science,English,10 Weeks,FREE-Add a Verified Certificate for $249 USD
La gestion des ressources humaines,"6,824",Self-paced on your time,HEC Montréal,Introductory,Business & Management,Français,7 Weeks,FREE-Add a Verified Certificate for $99 USD
Writing for Social Justice,"9,927",Self-paced on your time,"University of California, Berkeley",Introductory,Humanities,English,4 Weeks,FREE-Add a Verified Certificate for $50 USD
Steps in Japanese for Beginners1 Part2,"8,080",Self-paced on your time,Waseda University,Introductory,Language,English,5 Weeks,FREE-Add a Verified Certificate for $99 USD
Case Studies in Functional Genomics,"26,850",Self-paced on your time,Harvard University,Advanced,Data Analysis & Statistics,English,5 Weeks,FREE-Add a Verified Certificate for $149 USD
Essential Career Skills for Investment Banking and Finance,"11,655",Self-paced on your time,NYIF,Introductory,Business & Management,English,2 Weeks,FREE-Add a Verified Certificate for $49 USD
Data Structures and Software Design,"30,609",Self-paced on your time,University of Pennsylvania,Intermediate,Computer Science,English,4 Weeks,FREE-Add a Verified Certificate for $149 USD
Unconscious Bias: From Awareness to Action,"26,659",Self-paced on your time,Catalyst,Introductory,Communication,English,3 Weeks,FREE-Add a Verified Certificate for $49 USD
Cybersecurity for Critical Urban Infrastructure,"5,306",Self-paced on your time,Massachusetts Institute of Technology,Advanced,Computer Science,English,4 Weeks,FREE-Add a Verified Certificate for $100 USD
"Agile Process, Project, and Program Controls","16,339",Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,English,4 Weeks,FREE-Add a Verified Certificate for $199 USD
Risk Management in Development Projects,"13,263",Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,English,10 Weeks,FREE-Add a Verified Certificate for $25 USD
"Pintura europea: Leonardo, Rembrandt, Goya","32,635",Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Humanities,Español,7 Weeks,FREE-Add a Verified Certificate for $29 USD
Risk & Return,"21,970",Self-paced on your time,Columbia University,Introductory,Business & Management,English,4 Weeks,FREE-Add a Verified Certificate for $225 USD
Project Management of Engineering Projects: Preparing for Success,"42,834",Instructor-led on a course schedule,Delft University of Technology,Intermediate,Business & Management,English,10 Weeks,FREE-Add a Verified Certificate for $99 USD
Supply Chain Dynamics,"75,464",Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Business & Management,English,13 Weeks,FREE-Add a Verified Certificate for $299 USD
AWS Developer: Building on AWS,"54,249",Self-paced on your time,Amazon Web Services,Advanced,Computer Science,English,6 Weeks,FREE-Add a Verified Certificate for $149 USD
Financial Accounting Made Fun: Eliminating Your Fears,"36,787",Self-paced on your time,Babson College,Introductory,Business & Management,English,4 Weeks,FREE-Add a Verified Certificate for $199 USD
PredictionX: John Snow and the Cholera Epidemic of 1854,"17,713",Self-paced on your time,Harvard University,Introductory,History,English,1 Weeks,FREE-Add a Verified Certificate for $25 USD
Gestión de operaciones,"9,512",Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Business & Management,Español,6 Weeks,FREE-Add a Verified Certificate for $119 USD
Microeconomics & Business,"10,962",Self-paced on your time,Doane University,Introductory,Economics & Finance,English,8 Weeks,FREE-Add a Verified Certificate for $79 USD
Inteligencia artificial: Chatbots sin programación,"5,001",Self-paced on your time,IBM,Introductory,Computer Science,Español,2 Weeks,FREE-Add a Verified Certificate for $49 USD
Diseño e innovación de modelo de negocios,"7,180",Self-paced on your time,Tecnológico de Monterrey,Advanced,Business & Management,Español,4 Weeks,FREE-Add a Verified Certificate for $99 USD
Unlocking Investment and Finance in Emerging Markets and Developing Economies (EMDEs),"29,171",Self-paced on your time,World Bank Group,Introductory,Economics & Finance,English,4 Weeks,FREE-Add a Verified Certificate for $5 USD
Business Communication,,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,English,3 Weeks,FREE-Add a Verified Certificate for $199 USD
Gestão de riscos em projetos,"8,771",Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,Português,10 Weeks,FREE-Add a Verified Certificate for $25 USD
Vocal Recording Technology,"52,369",Self-paced on your time,Berklee College of Music,Introductory,Engineering,English,6 Weeks,FREE-Add a Verified Certificate for $49 USD
Agua 2.0: empresas eficientes para el siglo XXI,,Self-paced on your time,Inter-American Development Bank,Introductory,Business & Management,Español,8 Weeks,FREE-Add a Verified Certificate for $25 USD
IoT Sensors and Devices,"33,072",Self-paced on your time,Curtin University,Introductory,Computer Science,English,5 Weeks,FREE-Add a Verified Certificate for $199 USD
Introducción a las tecnologías para la Educación,"31,533",Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,5 Weeks,FREE-Add a Verified Certificate for $49 USD
Fundamentos de la guitarra eléctrica y acústica,"13,124",Self-paced on your time,Berklee College of Music,Introductory,Music,Español,6 Weeks,FREE-Add a Verified Certificate for $49 USD
e-Learning on Digital Agriculture,"6,238",Self-paced on your time,World Bank Group,Introductory,Environmental Studies,English,5 Weeks,FREE-Add a Verified Certificate for $5 USD
Exploring GraphQL: A Query Language for APIs,"9,503",Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,7 Weeks,FREE-Add a Verified Certificate for $149 USD
EmSAT English Preparation - Level 2,"7,346",Self-paced on your time,United Arab Emirates University,Intermediate,Language,English,6 Weeks,FREE-Add a Verified Certificate for $49 USD
The Data Science Method,"7,868",Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,7 Weeks,FREE-Add a Verified Certificate for $39 USD
"Plato, Socrates, and the Birth of Western Philosophy | 西方哲学精神探源","21,291",Self-paced on your time,Tsinghua University,Introductory,Humanities,English,16 Weeks,FREE-Add a Verified Certificate for $49 USD
"Cosmic Rays, Dark Matter, and the Mysteries of the Universe","12,888",Self-paced on your time,Waseda University,Intermediate,Physics,English,4 Weeks,FREE-Add a Verified Certificate for $49 USD
Macroeconomic Diagnostics,"23,408",Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,6 Weeks,FREE-Add a Verified Certificate for $25 USD
BioStatistics,"14,937",Self-paced on your time,Doane University,Introductory,Biology & Life Sciences,English,8 Weeks,FREE-Add a Verified Certificate for $79 USD
Results-Based Project Management: Monitoring and Evaluation,"32,810",Self-paced on your time,Wits University,Intermediate,Business & Management,English,8 Weeks,FREE-Add a Verified Certificate for $199 USD
Estrategias y estilos de negociación,"12,639",Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,4 Weeks,FREE-Add a Verified Certificate for $149 USD
Políticas efectivas de desarrollo infantil,"64,387",Self-paced on your time,Inter-American Development Bank,Intermediate,Social Sciences,Español,10 Weeks,FREE-Add a Verified Certificate for $25 USD
Alzheimer’s Disease & Dementia Care,"5,763",Self-paced on your time,Salisbury University-University System of Maryland,Intermediate,Medicine,English,5 Weeks,FREE-Add a Verified Certificate for $49 USD
Understanding Classroom Interaction,"27,114",Self-paced on your time,University of Pennsylvania,Introductory,Education & Teacher Training,English,5 Weeks,FREE-Add a Verified Certificate for $49 USD
Sign Language Science: Emergence and Evolution of Sign Language,"8,313",Self-paced on your time,Georgetown University,Introductory,Language,English,4 Weeks,FREE-Add a Verified Certificate for $99 USD
International Humanitarian Law,"31,419",Self-paced on your time,Université catholique de Louvain,Advanced,Law,English,12 Weeks,FREE-Add a Verified Certificate for $150 USD
"Educación de calidad para todos: equidad, inclusión y atención a la diversidad","25,111",Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Education & Teacher Training,Español,6 Weeks,FREE-Add a Verified Certificate for $49 USD
Introduction to Astrophysics,"20,802",Self-paced on your time,École polytechnique fédérale de Lausanne,Introductory,Physics,English,7 Weeks,FREE-Add a Verified Certificate for $139 USD
Epidemics I,"10,618",Self-paced on your time,University of Hong Kong,Introductory,Medicine,English,5 Weeks,FREE-Add a Verified Certificate for $139 USD
